wavenumer,ExptAbs,fitAbs,1_Anchor,2_PrimaryAmide(NH2),4_Core_Beta,5_PPII_Coil,6_Beta_Turn,7_PrimaryAmide(C=O),8_High_Beta
1661.0,0.009301428571428572,0.009166685604303662,3.993909777826871e-14,3.931818379518264e-11,1.9699440423332457e-05,0.006040601031262684,0.0030596894341723808,4.669565907533741e-05,1.1803993112056002e-14
1660.0,0.00972857142857143,0.009594332896056166,9.239284569485417e-14,9.430912885736452e-11,2.8334069030615917e-05,0.006787001806104229,0.0027556775965503905,2.331932996710389e-05,2.3051926199914032e-15
1659.0,0.010055714285714284,0.010078058194399848,2.1079385182052984e-13,2.207043593418324e-10,4.039344435039495e-05,0.007578792216808103,0.0024477043897472204,1.1167922578549102e-05,4.258959438871763e-16
1658.0,0.010482857142857141,0.010617398326824653,4.743042744210936e-13,5.039239307263188e-10,5.7076812042423166e-05,0.008410973399592035,0.002144218459728609,5.129151063276307e-06,7.444195975139703e-17
1657.0,0.01081,0.011211896448134386,1.0525328030930502e-12,1.1225765036768315e-09,7.99383925281554e-05,0.00927719621013715,0.00185250162236722,2.2590994728107337e-06,1.2309774632846822e-17
1656.0,0.011237142857142857,0.01186014062637664,2.3035293166678416e-12,2.4398538152664015e-09,0.00011096806042460099,0.01016977741568588,0.0015784385024515608,9.542056572527042e-07,1.9257522610098297e-18
1655.0,0.011664285714285716,0.012559239429939247,4.972002637520004e-12,5.1737871508462435e-09,0.00015268186677245266,0.011079760603672998,0.0013264052665928245,3.8651414181724187e-07,2.850156721878255e-19
1654.0,0.012791428571428572,0.013304675398597433,1.0583966570598125e-11,1.0704101116213008e-08,0.0002082206552920697,0.011997024047646779,0.0010992698378111934,1.5014316230788208e-07,3.990755091792336e-20
1653.0,0.01491857142857143,0.014090454383996177,2.2220052010670497e-11,2.1606714900743873e-08,0.0002814537492304401,0.012910435885745282,0.0008984871878087935,5.5932276710002455e-08,5.2863927043262796e-21
1652.0,0.016845714285714283,0.014909468083405424,4.60067108514282e-11,4.255241112775804e-08,0.0003770831698774037,0.013808054882693335,0.0007242674505433551,1.998187349042525e-08,6.624937382838048e-22
1651.0,0.01737285714285714,0.015753995606526235,9.394567740954063e-11,8.176293987489982e-08,0.0005007421409845774,0.014677372864477326,0.0005757918983397812,6.845838999581733e-09,7.854565107666387e-23
1650.0,0.0172,0.016616280348357812,1.89195987584534e-10,1.532800795892362e-07,0.0006590798226695654,0.01550559275205568,0.0004514520551266843,2.2492303032478326e-09,8.810093560548599e-24
1649.0,0.016927142857142856,0.01748912782690165,3.757738408500387e-10,2.8035727445844866e-07,0.0008598224336813907,0.01627993410158059,0.00034908984989870346,7.086926677236009e-10,9.348822353468933e-25
1648.0,0.017254285714285715,0.018366477899069575,7.360726285261348e-10,5.00304990177305e-07,0.001111799334494868,0.016987956308907565,0.00026622100046387826,2.1414045525450014e-10,9.385367970473043e-26
