wavenumber,Absorbance
3019.00,0.0072
3018.00,0.0072
3017.00,0.0071
3016.00,0.0071
3015.00,0.0071
3014.00,0.0071
3013.00,0.0071
3012.00,0.0070
3011.00,0.0070
3010.00,0.0070
3009.00,0.0070
3008.00,0.0070
3007.00,0.0070
3006.00,0.0070
3005.00,0.0070
3004.00,0.0070
3003.00,0.0071
3002.00,0.0071
3001.00,0.0071
3000.00,0.0071
2999.00,0.0071
2998.00,0.0071
2997.00,0.0071
2996.00,0.0072
2995.00,0.0072
2994.00,0.0072
2993.00,0.0073
2992.00,0.0073
2991.00,0.0074
2990.00,0.0074
2989.00,0.0075
2988.00,0.0076
2987.00,0.0077
2986.00,0.0078
2985.00,0.0079
2984.00,0.0080
2983.00,0.0081
2982.00,0.0083
2981.00,0.0084
2980.00,0.0086
2979.00,0.0088
2978.00,0.0091
2977.00,0.0093
2976.00,0.0095
2975.00,0.0098
2974.00,0.0100
2973.00,0.0102
2972.00,0.0105
2971.00,0.0107
2970.00,0.0108
2969.00,0.0110
2968.00,0.0111
2967.00,0.0112
2966.00,0.0113
2965.00,0.0113
2964.00,0.0113
2963.00,0.0112
2962.00,0.0111
2961.00,0.0110
2960.00,0.0108
2959.00,0.0105
2958.00,0.0102
2957.00,0.0099
2956.00,0.0096
2955.00,0.0093
2954.00,0.0091
2953.00,0.0088
2952.00,0.0087
2951.00,0.0085
2950.00,0.0084
2949.00,0.0084
2948.00,0.0083
2947.00,0.0083
2946.00,0.0083
2945.00,0.0084
2944.00,0.0085
2943.00,0.0086
2942.00,0.0087
2941.00,0.0088
2940.00,0.0089
2939.00,0.0090
2938.00,0.0091
2937.00,0.0093
2936.00,0.0094
2935.00,0.0095
2934.00,0.0096
2933.00,0.0096
2932.00,0.0097
2931.00,0.0096
2930.00,0.0096
2929.00,0.0095
2928.00,0.0095
2927.00,0.0094
2926.00,0.0094
2925.00,0.0094
2924.00,0.0093
2923.00,0.0093
2922.00,0.0092
2921.00,0.0092
2920.00,0.0092
2919.00,0.0091
2918.00,0.0091
2917.00,0.0091
2916.00,0.0090
2915.00,0.0090
2914.00,0.0090
2913.00,0.0089
2912.00,0.0089
2911.00,0.0089
2910.00,0.0088
2909.00,0.0088
2908.00,0.0088
2907.00,0.0087
2906.00,0.0087
2905.00,0.0086
2904.00,0.0086
2903.00,0.0086
2902.00,0.0086
2901.00,0.0085
2900.00,0.0085
2899.00,0.0085
2898.00,0.0085
2897.00,0.0085
2896.00,0.0085
2895.00,0.0085
2894.00,0.0085
2893.00,0.0085
2892.00,0.0085
2891.00,0.0085
2890.00,0.0085
2889.00,0.0084
2888.00,0.0085
2887.00,0.0085
2886.00,0.0085
2885.00,0.0085
2884.00,0.0085
2883.00,0.0086
2882.00,0.0087
2881.00,0.0087
2880.00,0.0088
2879.00,0.0089
2878.00,0.0090
2877.00,0.0090
2876.00,0.0090
2875.00,0.0089
2874.00,0.0088
2873.00,0.0087
2872.00,0.0086
2871.00,0.0085
2870.00,0.0083
2869.00,0.0082
2868.00,0.0082
2867.00,0.0081
2866.00,0.0081
2865.00,0.0081
2864.00,0.0081
2863.00,0.0080
2862.00,0.0080
2861.00,0.0080
2860.00,0.0080
2859.00,0.0079
2858.00,0.0079
2857.00,0.0078
2856.00,0.0078
2855.00,0.0077
2854.00,0.0077
2853.00,0.0076
2852.00,0.0075
2851.00,0.0075
2850.00,0.0074
2849.00,0.0074
2848.00,0.0074
2847.00,0.0073
2846.00,0.0073
2845.00,0.0073
2844.00,0.0072
2843.00,0.0072
2842.00,0.0072
2841.00,0.0072
2840.00,0.0072
2839.00,0.0072
2838.00,0.0072
2837.00,0.0072
2836.00,0.0071
2835.00,0.0071
2834.00,0.0071
2833.00,0.0071
2832.00,0.0071
2831.00,0.0071
2830.00,0.0071
2829.00,0.0071
2828.00,0.0071
2827.00,0.0071
2826.00,0.0071
2825.00,0.0071
2824.00,0.0071
2823.00,0.0070
2822.00,0.0070
2821.00,0.0070
2820.00,0.0070
2819.00,0.0070
2818.00,0.0070
2817.00,0.0070
2816.00,0.0070
2815.00,0.0070
2814.00,0.0070
2813.00,0.0070
2812.00,0.0070
2811.00,0.0070
2810.00,0.0070
2809.00,0.0070
2808.00,0.0070
2807.00,0.0070
2806.00,0.0070
2805.00,0.0070
2804.00,0.0070
2803.00,0.0070
2802.00,0.0070
2801.00,0.0069
2800.00,0.0069
2799.00,0.0069
2798.00,0.0069
2797.00,0.0069
2796.00,0.0069
2795.00,0.0069
2794.00,0.0069
2793.00,0.0069
2792.00,0.0069
2791.00,0.0069
2790.00,0.0069
2789.00,0.0069
2788.00,0.0069
2787.00,0.0069
2786.00,0.0069
2785.00,0.0069
2784.00,0.0069
2783.00,0.0069
2782.00,0.0069
2781.00,0.0069
2780.00,0.0069
2779.00,0.0068
2778.00,0.0068
2777.00,0.0068
2776.00,0.0068
2775.00,0.0068
2774.00,0.0068
2773.00,0.0068
